gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q			Legend:	
PLS1	plastin 1 (I isoform)	1946	3	0	0	5	1	0	0	6	6	6	2.65E-02	1	8.07E-01	1.23E-01	1				
FCER1G	"Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide"	420	159	0	0	0	0	1	0	1	1	1	1.23E-01	NaN	NaN	1.23E-01	1				
TTC12	tetratricopeptide repeat domain 12	2575	25	0	1	2	0	1	0	3	3	3	3.54E-01	1	6.90E-02	1.23E-01	1				
DNAH17	"dynein, axonemal, heavy chain 17"	13826	16	0	9	14	0	1	0	15	13	15	9.15E-01	9.60E-02	1.33E-01	1.23E-01	1				
CLEC16A	"C-type lectin domain family 16, member A"	3455	7	0	1	5	0	0	0	5	5	5	4.43E-02	1	4.03E-01	1.23E-01	1				
SEC14L2	SEC14-like 2 (S. cerevisiae)	1352	33	0	0	2	0	0	0	2	2	2	2.83E-01	1	7.10E-02	1.23E-01	1				
C1orf198	chromosome 1 open reading frame 198	996	6	0	0	2	0	0	0	2	2	2	2.64E-01	1	8.50E-02	1.23E-01	1				
ZCCHC5	"zinc finger, CCHC domain containing 5"	1428	97	0	1	2	0	0	0	2	2	2	5.81E-01	1	4.50E-02	1.23E-01	1				
LRBA	"LPS-responsive vesicle trafficking, beach and anchor containing"	8849	66	0	6	11	1	1	0	13	12	13	3.04E-01	1	7.30E-02	1.24E-01	1				
GAK	cyclin G associated kinase	4044	16	0	2	6	0	0	0	6	6	6	1.94E-01	1	1.05E-01	1.24E-01	1				
KBTBD6	kelch repeat and BTB (POZ) domain containing 6	2025	14	0	0	5	0	0	1	6	6	6	2.68E-02	1	8.53E-01	1.24E-01	1				
SLMO2	slowmo homolog 2 (Drosophila)	605	65	0	0	0	1	0	0	1	1	1	1.24E-01	NaN	NaN	1.24E-01	1				
TSC22D1	"TSC22 domain family, member 1"	3409	7	0	1	2	0	0	0	2	2	2	1.57E-01	1	1.05E-01	1.24E-01	1				
WFDC10B	WAP four-disulfide core domain 10B	371	194	0	0	2	0	0	0	2	2	2	2.70E-02	1	9.72E-01	1.25E-01	1				
BBS10	Bardet-Biedl syndrome 10	2176	6	0	0	6	0	0	0	6	6	6	6.32E-02	1	4.05E-01	1.25E-01	1				
INSRR	insulin receptor-related receptor	3978	1	0	0	8	0	0	0	8	8	8	4.41E-02	1	4.13E-01	1.25E-01	1				
APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	1806	17	0	0	2	0	1	1	4	3	4	2.71E-02	1	4.51E-01	1.25E-01	1				
3-Mar	membrane-associated ring finger (C3HC4) 3	796	18	0	0	2	0	0	0	2	2	2	3.53E-01	1	4.70E-02	1.25E-01	1				
GLO1	glyoxalase I	575	104	0	0	2	0	1	0	3	3	3	2.72E-02	1	7.38E-01	1.25E-01	1				
CYP4Z1	"cytochrome P450, family 4, subfamily Z, polypeptide 1"	1563	6	0	0	3	1	0	0	4	4	4	2.73E-02	1	7.09E-01	1.26E-01	1				
SLC6A11	"solute carrier family 6 (neurotransmitter transporter, GABA), member 11"	1953	12	0	0	5	0	1	0	6	6	6	6.15E-02	1	3.29E-01	1.26E-01	1				
HIST1H2BD	"histone cluster 1, H2bd"	381	0	0	10	2	0	0	0	2	2	2	9.47E-01	1	1.50E-02	1.26E-01	1				
ZNF831	zinc finger protein 831	5050	0	0	1	4	0	0	0	4	4	4	5.39E-01	1	4.40E-02	1.26E-01	1				
LGALS13	"lectin, galactoside-binding, soluble, 13 (galectin 13)"	432	201	0	0	2	0	0	0	2	2	2	6.72E-02	1	1.52E-01	1.26E-01	1				
TFPI2	tissue factor pathway inhibitor 2	724	8	0	1	1	0	1	0	2	2	2	3.48E-01	1	7.60E-02	1.26E-01	1				
SLC5A10	"solute carrier family 5 (sodium/glucose cotransporter), member 10"	2010	23	0	2	3	0	0	1	4	4	4	3.09E-01	1	5.00E-02	1.26E-01	1				
JUN	jun oncogene	996	34	0	1	0	0	0	1	1	1	1	1.26E-01	NaN	NaN	1.26E-01	1				
USP50	ubiquitin specific peptidase 50	1029	44	0	0	1	0	0	1	2	2	2	7.87E-02	1	3.05E-01	1.27E-01	1				
PCDHGC5	"protocadherin gamma subfamily C, 5"	2847	2	0	0	5	0	0	0	5	5	5	2.76E-02	1	7.66E-01	1.27E-01	1				
DTX4	deltex 4 homolog (Drosophila)	1892	1	0	0	2	0	0	0	2	2	2	2.42E-01	1	8.90E-02	1.27E-01	1				
GGN	gametogenetin	1963	24	0	2	3	0	0	1	4	4	4	1.85E-01	1	8.50E-02	1.27E-01	1				
C20orf144	chromosome 20 open reading frame 144	466	80	0	0	2	0	0	0	2	2	2	9.80E-02	1	1.24E-01	1.27E-01	1				
ZC3HAV1L	"zinc finger CCCH-type, antiviral 1-like"	919	127	0	0	2	0	1	0	3	3	3	2.77E-02	1	9.84E-01	1.27E-01	1				
CRYAB	"crystallin, alpha B"	678	59	0	0	1	0	1	0	2	1	2	1.27E-01	NaN	NaN	1.27E-01	1				
MRPS18C	mitochondrial ribosomal protein S18C	449	129	0	0	0	0	1	0	1	1	1	1.27E-01	NaN	NaN	1.27E-01	1				
KCTD20	potassium channel tetramerisation domain containing 20	1284	198	0	0	1	0	1	0	2	2	2	1.10E-01	1	2.52E-01	1.27E-01	1				
GPNMB	glycoprotein (transmembrane) nmb	1837	56	0	1	2	1	0	0	3	3	3	1.43E-01	1	1.86E-01	1.28E-01	1				
LRRC2	leucine rich repeat containing 2	1144	266	0	1	1	1	0	1	3	3	3	2.78E-02	1	6.20E-01	1.28E-01	1				
MTA2	"metastasis associated 1 family, member 2"	2075	22	0	0	2	0	0	1	3	3	3	1.18E-01	1	1.17E-01	1.28E-01	1				
PLB1	phospholipase B1	4722	53	0	2	4	0	1	2	7	7	7	2.79E-02	1	9.42E-01	1.28E-01	1				
PIP4K2A	"phosphatidylinositol-5-phosphate 4-kinase, type II, alpha"	1303	439	0	1	4	0	0	0	4	4	4	4.60E-02	1	5.66E-01	1.28E-01	1				
C1orf112	chromosome 1 open reading frame 112	2855	5	0	0	6	0	0	0	6	6	6	2.80E-02	1	6.18E-01	1.28E-01	1				
PPT1	"palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)"	953	28	0	0	2	0	0	0	2	2	2	9.97E-02	1	1.65E-01	1.28E-01	1				
TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)	1332	2	0	0	3	1	0	0	4	3	4	2.80E-02	1	9.56E-01	1.28E-01	1				
INADL	InaD-like (Drosophila)	5715	7	0	1	12	0	0	0	12	12	12	2.81E-02	1	4.89E-01	1.29E-01	1				
XCR1	chemokine (C motif) receptor 1	1002	60	0	1	2	1	0	0	3	3	3	9.82E-02	1	2.52E-01	1.29E-01	1				
DOT1L	"DOT1-like, histone H3 methyltransferase (S. cerevisiae)"	4722	9	0	2	5	2	1	0	8	8	8	2.83E-02	1	6.81E-01	1.29E-01	1				
OR4A47	"olfactory receptor, family 4, subfamily A, member 47"	930	101	0	1	2	0	0	0	2	2	2	8.83E-01	1	2.50E-02	1.29E-01	1				
ZNF471	zinc finger protein 471	1893	104	0	1	8	0	0	0	8	8	8	1.65E-01	1	1.16E-01	1.29E-01	1				
ZFP36	"zinc finger protein 36, C3H type, homolog (mouse)"	1175	0	0	0	3	0	0	0	3	3	3	7.37E-02	1	3.18E-01	1.29E-01	1				
TRIM27	tripartite motif-containing 27	1570	36	0	0	2	0	0	1	3	3	3	1.18E-01	1	2.09E-01	1.29E-01	1				
CSF2	colony stimulating factor 2 (granulocyte-macrophage)	447	115	0	0	0	0	1	0	1	1	1	1.30E-01	NaN	NaN	1.30E-01	1				
PKN1	protein kinase N1	2954	2	0	2	4	1	2	0	7	7	7	5.92E-02	1	4.09E-01	1.30E-01	1				
SLC47A1	"solute carrier family 47, member 1"	1922	2	0	0	2	0	1	0	3	3	3	5.98E-02	1	4.76E-01	1.30E-01	1				
GLUL	glutamate-ammonia ligase (glutamine synthetase)	1142	84	0	1	3	0	0	1	4	4	4	2.85E-02	1	8.98E-01	1.30E-01	1				
SPTBN1	"spectrin, beta, non-erythrocytic 1"	7427	3	0	2	6	1	1	0	8	8	8	2.97E-01	1	3.80E-02	1.30E-01	1				
CCDC102B	coiled-coil domain containing 102B	1643	97	0	1	7	1	0	0	8	7	7	7.14E-01	2.60E-02	5.02E-01	1.30E-01	1				
NOD2	nucleotide-binding oligomerization domain containing 2	3167	1	0	0	5	1	0	0	6	6	6	2.86E-02	1	8.61E-01	1.30E-01	1				
PPM1H	protein phosphatase 1H (PP2C domain containing)	1581	29	0	2	5	0	1	0	6	6	6	2.86E-02	1	3.10E-01	1.30E-01	1				
HEPACAM2	HEPACAM family member 2	1579	82	0	1	2	0	0	0	2	2	2	5.51E-01	1	5.20E-02	1.30E-01	1				
PTPN13	"protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)"	7797	14	0	3	4	1	1	0	6	6	6	6.67E-01	1	1.90E-02	1.30E-01	1				
NTN4	netrin 4	1923	3	0	0	4	0	0	0	4	4	4	3.09E-01	1	4.90E-02	1.31E-01	1				
MAGT1	magnesium transporter 1	1157	18	0	1	2	2	1	0	5	4	5	2.87E-02	1	8.39E-01	1.31E-01	1				
ADNP	activity-dependent neuroprotector homeobox	3317	4	0	1	7	1	0	2	10	8	10	2.88E-02	1	5.14E-01	1.31E-01	1				
SCMH1	sex comb on midleg homolog 1 (Drosophila)	2155	6	0	0	3	0	0	0	3	3	3	6.87E-02	1	2.82E-01	1.31E-01	1				
C10orf120	chromosome 10 open reading frame 120	1016	25	0	1	4	0	1	0	5	5	5	2.88E-02	1	5.36E-01	1.31E-01	1				
SYBU	syntabulin (syntaxin-interacting)	2097	32	0	2	7	0	0	0	7	6	7	8.59E-02	1	2.26E-01	1.31E-01	1				
PPP3R1	"protein phosphatase 3 (formerly 2B), regulatory subunit B, alpha isoform"	595	161	0	0	0	0	1	0	1	1	1	1.31E-01	NaN	NaN	1.31E-01	1				
GPR137C	G protein-coupled receptor 137C	1314	83	0	0	2	0	0	1	3	3	3	2.89E-02	1	5.58E-01	1.31E-01	1				
PAH	phenylalanine hydroxylase	1454	5	0	0	2	0	1	0	3	3	3	8.64E-02	1	2.61E-01	1.31E-01	1				
STRA8	stimulated by retinoic acid gene 8 homolog (mouse)	1025	231	0	0	2	0	0	0	2	2	2	1.74E-01	1	1.28E-01	1.31E-01	1				
MAGEB16	"melanoma antigen family B, 16"	1075	96	0	1	4	0	0	0	4	4	4	6.03E-01	3.80E-02	2.12E-01	1.31E-01	1				
DIRC2	disrupted in renal carcinoma 2	1469	28	0	1	3	0	0	0	3	3	3	1.82E-01	1	1.24E-01	1.32E-01	1				
CD22	CD22 molecule	2592	21	0	2	5	1	0	2	8	7	8	2.90E-02	1	5.65E-01	1.32E-01	1				
KCND1	"potassium voltage-gated channel, Shal-related subfamily, member 1"	1964	191	0	1	5	0	0	1	6	6	6	4.24E-02	1	6.71E-01	1.32E-01	1				
RSPH3	radial spoke head 3 homolog (Chlamydomonas)	1711	32	0	0	2	0	0	1	3	3	3	1.47E-01	1	1.24E-01	1.32E-01	1				
SERPINB13	"serpin peptidase inhibitor, clade B (ovalbumin), member 13"	1200	102	0	0	1	1	0	1	3	3	3	2.90E-02	1	4.96E-01	1.32E-01	1				
RAC3	"ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)"	599	180	0	0	3	0	0	0	3	3	3	2.91E-02	1	8.36E-01	1.32E-01	1				
CLDN23	claudin 23	879	65	0	0	1	0	0	1	2	2	2	1.56E-01	1	1.59E-01	1.32E-01	1				
TBX6	T-box 6	1386	90	0	0	2	0	0	1	3	3	3	7.51E-02	1	3.53E-01	1.32E-01	1				
C1orf35	chromosome 1 open reading frame 35	820	22	0	0	2	0	1	0	3	3	3	2.92E-02	1	9.88E-01	1.32E-01	1				
IFNA6	"interferon, alpha 6"	570	991	0	0	1	0	0	0	1	1	1	1.33E-01	NaN	NaN	1.33E-01	1				
NOTCH2NL	Notch homolog 2 (Drosophila) N-terminal like	784	82	0	0	3	0	0	0	3	3	3	2.93E-02	1	8.10E-01	1.33E-01	1				
TYK2	tyrosine kinase 2	3950	19	0	2	4	0	0	0	4	4	4	7.53E-01	1	3.50E-02	1.33E-01	1				
MGAT4B	"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B"	1843	28	0	1	2	0	0	0	2	2	2	6.68E-01	1	2.90E-02	1.33E-01	1				
SREBF2	sterol regulatory element binding transcription factor 2	3498	2	0	0	2	1	0	0	3	3	3	1.09E-01	1	1.77E-01	1.33E-01	1				
AKR1A1	"aldo-keto reductase family 1, member A1 (aldehyde reductase)"	1008	53	0	0	2	0	0	0	2	2	2	2.32E-01	1	1.12E-01	1.33E-01	1				
ADAMTS10	"ADAM metallopeptidase with thrombospondin type 1 motif, 10"	3461	9	0	1	4	0	0	0	4	3	4	9.17E-01	1	4.00E-03	1.34E-01	1				
ZNF559	zinc finger protein 559	2281	18	0	0	2	0	0	1	3	3	3	4.28E-01	1	5.30E-02	1.34E-01	1				
C8orf46	chromosome 8 open reading frame 46	646	362	0	0	1	0	1	0	2	2	2	7.28E-02	1	3.45E-01	1.34E-01	1				
RHOV	"ras homolog gene family, member V"	719	18	0	0	0	0	1	0	1	1	1	1.34E-01	NaN	NaN	1.34E-01	1				
SIK3	SIK family kinase 3	4202	0	0	0	5	0	1	0	6	6	6	7.14E-02	1	3.28E-01	1.34E-01	1				
DHCR24	24-dehydrocholesterol reductase	1693	24	0	0	5	1	0	0	6	6	6	2.97E-02	1	6.13E-01	1.34E-01	1				
SYF2	"SYF2 homolog, RNA splicing factor (S. cerevisiae)"	756	123	0	0	3	0	0	0	3	3	3	2.97E-02	1	5.82E-01	1.34E-01	1				
ROBO1	"roundabout, axon guidance receptor, homolog 1 (Drosophila)"	5142	32	0	3	12	1	0	1	14	12	13	4.24E-01	5.60E-02	8.84E-01	1.34E-01	1				
ARHGEF11	Rho guanine nucleotide exchange factor (GEF) 11	4904	1	0	1	5	0	1	0	6	5	6	2.09E-01	1	9.80E-02	1.34E-01	1				
SNX10	sorting nexin 10	730	56	0	0	0	0	1	0	1	1	1	1.34E-01	NaN	NaN	1.34E-01	1				
CIDEB	cell death-inducing DFFA-like effector b	676	16	0	0	2	0	0	0	2	2	2	4.65E-02	1	6.28E-01	1.35E-01	1				
ITFG3	integrin alpha FG-GAP repeat containing 3	1850	9	0	0	4	0	0	0	4	4	4	9.90E-02	1	2.58E-01	1.35E-01	1				
OCM2	oncomodulin 2	342	303	0	0	1	0	0	0	1	1	1	1.35E-01	NaN	NaN	1.35E-01	1				
CASP7	"caspase 7, apoptosis-related cysteine peptidase"	1150	20	0	0	3	0	1	0	4	4	4	3.02E-02	1	6.24E-01	1.36E-01	1				
FGD6	"FYVE, RhoGEF and PH domain containing 6"	4389	0	0	1	3	1	0	0	4	4	4	2.93E-01	1	9.60E-02	1.36E-01	1				
BRD4	bromodomain containing 4	4403	14	0	1	4	0	0	0	4	4	4	7.36E-01	1	2.80E-02	1.36E-01	1				
DDX41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	1933	44	0	0	5	0	0	1	6	5	6	3.02E-02	1	8.25E-01	1.36E-01	1				
PDE7A	phosphodiesterase 7A	1589	25	0	0	4	0	0	0	4	4	4	5.74E-02	1	3.23E-01	1.36E-01	1				
CYP2W1	"cytochrome P450, family 2, subfamily W, polypeptide 1"	1613	61	0	0	1	0	1	0	2	2	2	2.12E-01	1	1.35E-01	1.36E-01	1				
YIF1A	Yip1 interacting factor homolog A (S. cerevisiae)	995	48	0	1	2	0	0	0	2	2	2	2.23E-01	1	6.40E-02	1.36E-01	1				
ARHGEF1	Rho guanine nucleotide exchange factor (GEF) 1	3394	0	0	0	0	1	1	0	2	2	2	2.62E-01	1	9.10E-02	1.36E-01	1				
RGS3	regulator of G-protein signaling 3	4361	49	0	3	5	0	0	0	5	5	4	4.76E-01	1.50E-01	1.38E-01	1.37E-01	1				
BMP2K	BMP2 inducible kinase	3582	0	0	0	3	0	0	1	4	4	4	1.53E-01	1	1.77E-01	1.37E-01	1				
MAB21L3	mab-21-like 3 (C. elegans)	1109	287	0	1	3	0	0	0	3	3	2	1.23E-01	1.92E-01	4.23E-01	1.37E-01	1				
ZCCHC7	"zinc finger, CCHC domain containing 7"	1673	0	0	0	5	0	0	0	5	5	5	4.67E-02	1	3.73E-01	1.37E-01	1				
ERCC5	"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))"	3646	30	0	1	6	0	0	1	7	7	7	5.65E-02	1	4.46E-01	1.37E-01	1				
FAM58A	"family with sequence similarity 58, member A"	761	245	0	0	2	0	0	0	2	2	2	1.38E-01	1	2.01E-01	1.37E-01	1				
TMED9	transmembrane emp24 protein transport domain containing 9	724	334	0	0	2	1	0	0	3	3	3	3.06E-02	1	9.59E-01	1.37E-01	1				
EIF4A2	"eukaryotic translation initiation factor 4A, isoform 2"	1267	15	0	0	3	0	1	0	4	4	4	3.06E-02	1	3.73E-01	1.37E-01	1				
CYP2S1	"cytochrome P450, family 2, subfamily S, polypeptide 1"	1547	1	0	0	1	0	1	0	2	2	2	8.28E-02	1	3.03E-01	1.37E-01	1				
PPP2R3C	"protein phosphatase 2 (formerly 2A), regulatory subunit B'', gamma"	1479	69	0	0	4	0	0	0	4	4	4	1.04E-01	1	2.60E-01	1.38E-01	1				
OR5H1	"olfactory receptor, family 5, subfamily H, member 1"	942	150	0	0	2	0	0	0	2	2	2	4.10E-01	1	4.60E-02	1.38E-01	1				
CC2D2B	coiled-coil and C2 domain containing 2B	1523	23	0	0	3	0	0	0	3	3	3	2.16E-01	1	1.38E-01	1.38E-01	1				
P2RY2	"purinergic receptor P2Y, G-protein coupled, 2"	1134	51	0	0	2	0	0	0	2	2	2	3.06E-01	1	8.60E-02	1.38E-01	1				
CPS1	"carbamoyl-phosphate synthetase 1, mitochondrial"	4673	209	0	4	9	1	0	0	10	9	10	3.09E-02	1	9.70E-01	1.38E-01	1				
SPNS1	spinster homolog 1 (Drosophila)	1770	8	0	0	5	0	0	0	5	4	5	1.22E-01	1	2.30E-01	1.39E-01	1				
WDR35	WD repeat domain 35	3654	7	0	1	8	1	0	0	9	8	9	3.10E-02	1	8.09E-01	1.39E-01	1				
BFSP1	"beaded filament structural protein 1, filensin"	2030	74	0	0	2	0	0	0	2	2	2	6.35E-01	1	4.00E-02	1.39E-01	1				
ELMSAN1	ELM2 and Myb/SANT-like domain containing 1	3178	17	0	1	7	0	0	1	8	7	8	3.11E-02	1	6.77E-01	1.39E-01	1				
REV3L	"REV3-like, catalytic subunit of DNA polymerase zeta (yeast)"	9517	0	0	0	9	0	0	1	10	10	10	3.12E-02	1	6.83E-01	1.39E-01	1				
C2orf48	chromosome 2 open reading frame 48	488	125	0	0	0	1	0	0	1	1	1	1.40E-01	NaN	NaN	1.40E-01	1				
BACH2	"BTB and CNC homology 1, basic leucine zipper transcription factor 2"	2538	5	0	0	2	0	0	0	2	2	2	1.23E-01	1	8.50E-02	1.40E-01	1				
C4BPA	"complement component 4 binding protein, alpha"	1834	1	0	0	1	0	1	1	3	3	3	6.06E-02	1	4.36E-01	1.40E-01	1				
DIP2A	DIP2 disco-interacting protein 2 homolog A (Drosophila)	4929	12	0	1	7	0	0	0	7	7	7	9.85E-02	1	2.51E-01	1.40E-01	1				
IGFBPL1	insulin-like growth factor binding protein-like 1	849	347	0	0	4	0	0	0	4	4	4	5.28E-02	1	4.53E-01	1.40E-01	1				
FAM83G	"family with sequence similarity 83, member G"	2488	17	0	1	5	0	0	0	5	5	4	3.07E-01	7.30E-02	6.29E-01	1.40E-01	1				
GHRL	ghrelin/obestatin preprohormone	471	103	0	0	0	0	0	1	1	1	1	1.40E-01	NaN	NaN	1.40E-01	1				
CD40	"CD40 molecule, TNF receptor superfamily member 5"	866	11	0	0	1	0	0	1	2	2	2	4.40E-02	1	6.89E-01	1.40E-01	1				
ZNF43	zinc finger protein 43	2488	0	0	0	4	0	0	1	5	5	5	1.26E-01	1	2.07E-01	1.40E-01	1				
ZNF783	zinc finger protein 783	2213	10	0	2	5	0	0	0	5	5	5	1.40E-01	NaN	NaN	1.40E-01	1				
HIST1H3F	"histone cluster 1, H3f"	413	7	0	1	7	0	0	0	7	6	6	5.95E-01	5.00E-02	9.67E-01	1.41E-01	1				
HDAC9	histone deacetylase 9	3551	58	0	3	10	0	0	0	10	10	9	1.90E-01	1.47E-01	8.90E-01	1.41E-01	1				
IGF1R	insulin-like growth factor 1 receptor	4184	5	0	1	4	0	0	0	4	4	4	3.67E-01	1	4.80E-02	1.41E-01	1				
FMO3	flavin containing monooxygenase 3	1701	23	0	0	6	0	0	1	7	7	7	3.16E-02	1	6.14E-01	1.41E-01	1				
KIAA1377	KIAA1377	3394	33	0	3	6	0	0	0	6	6	6	4.27E-01	1	4.30E-02	1.41E-01	1				
NFU1	NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae)	793	115	0	0	0	0	1	0	1	1	1	1.41E-01	NaN	NaN	1.41E-01	1				
SERTAD4	SERTA domain containing 4	1079	259	0	0	2	0	1	0	3	3	3	3.17E-02	1	2.59E-01	1.41E-01	1				
OSBPL6	oxysterol binding protein-like 6	3118	7	0	1	2	0	0	1	3	3	3	1.99E-01	1	1.27E-01	1.41E-01	1				
COX4I2	cytochrome c oxidase subunit IV isoform 2 (lung)	530	267	0	0	0	0	0	1	1	1	1	1.41E-01	NaN	NaN	1.41E-01	1				
IPO9	importin 9	3218	2	0	0	1	0	1	0	2	2	2	3.57E-01	1	8.90E-02	1.41E-01	1				
PTGIS	prostaglandin I2 (prostacyclin) synthase	1539	31	0	1	2	0	0	0	2	2	2	3.03E-01	1	7.20E-02	1.41E-01	1				
FYB	FYN binding protein (FYB-120/130)	2592	2	0	0	3	1	0	0	4	4	4	3.18E-02	1	7.45E-01	1.41E-01	1				
GRB10	growth factor receptor-bound protein 10	1880	10	0	3	8	0	0	0	8	7	8	3.18E-02	1	7.62E-01	1.41E-01	1				
BSG	basigin (Ok blood group)	1186	170	0	0	2	0	1	0	3	3	3	1.16E-01	1	2.22E-01	1.41E-01	1				
ZNF652	zinc finger protein 652	1837	2	0	0	4	0	0	0	4	4	4	2.32E-01	1	1.07E-01	1.42E-01	1				
CCDC90B	coiled-coil domain containing 90B	910	547	0	0	1	1	0	0	2	2	2	1.35E-01	1	1.45E-01	1.42E-01	1				
HIST1H2BG	"histone cluster 1, H2bg"	382	4	0	5	4	1	0	1	6	6	6	2.15E-01	1	7.30E-02	1.42E-01	1				
CFHR5	complement factor H-related 5	1818	48	0	0	5	0	0	0	5	5	5	2.65E-01	1	8.00E-02	1.42E-01	1				
ZDHHC8	"zinc finger, DHHC-type containing 8"	2551	7	0	0	5	0	0	0	5	5	4	9.84E-02	1	1.81E-01	1.43E-01	1				
CPNE8	copine VIII	1835	8	0	2	1	0	1	0	2	2	2	8.70E-01	1	2.90E-02	1.43E-01	1				
ZNF394	zinc finger protein 394	1694	21	0	1	1	1	0	0	2	2	2	2.45E-01	1	1.24E-01	1.43E-01	1				
ANO7	anoctamin 7	3047	16	0	1	5	0	1	0	6	5	6	2.33E-01	1	9.50E-02	1.43E-01	1				
MRPS11	mitochondrial ribosomal protein S11	605	26	0	0	0	0	1	0	1	1	1	1.43E-01	NaN	NaN	1.43E-01	1				
NDN	necdin homolog (mouse)	966	0	0	2	5	0	0	0	5	4	5	5.68E-01	1	2.40E-02	1.44E-01	1				
CKAP5	cytoskeleton associated protein 5	6288	8	0	1	8	0	0	0	8	8	8	7.81E-02	1	2.58E-01	1.44E-01	1				
HSD3B1	"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1"	1136	87	0	0	3	1	0	0	4	4	4	3.24E-02	1	8.45E-01	1.44E-01	1				
FAM120A	family with sequence similarity 120A	3664	3	0	0	3	1	1	0	5	4	5	1.54E-01	1	1.74E-01	1.44E-01	1				
FHDC1	FH2 domain containing 1	3472	15	0	1	4	0	0	1	5	5	5	6.31E-02	1	4.42E-01	1.44E-01	1				
TRMT2A	tRNA methyltransferase 2 homolog A (S. cerevisiae)	1998	11	0	0	3	0	0	0	3	3	3	1.70E-01	1	9.70E-02	1.45E-01	1				
CSRP2BP	CSRP2 binding protein	2385	19	0	0	3	0	0	1	4	4	4	2.48E-01	1	9.00E-02	1.45E-01	1				
COL4A2	"collagen, type IV, alpha 2"	5323	0	0	0	4	0	1	0	5	5	5	9.21E-02	1	3.22E-01	1.45E-01	1				
FAAH	fatty acid amide hydrolase	1796	41	0	0	2	1	0	0	3	3	3	2.16E-01	1	1.20E-01	1.45E-01	1				
MC4R	melanocortin 4 receptor	999	62	0	0	4	0	0	0	4	4	3	3.28E-01	2.59E-01	2.85E-01	1.45E-01	1				
ADNP2	ADNP homeobox 2	3404	17	0	1	2	0	1	0	3	3	3	4.38E-01	1	5.10E-02	1.45E-01	1				
HCFC2	host cell factor C2	2435	3	0	0	3	0	0	0	3	3	3	1.29E-01	1	2.53E-01	1.45E-01	1				
FBXO18	"F-box protein, helicase, 18"	3428	2	0	0	6	0	0	0	6	6	6	3.30E-02	1	4.72E-01	1.45E-01	1				
NOX3	NADPH oxidase 3	1755	9	0	0	3	1	1	0	5	5	5	7.29E-02	1	2.79E-01	1.45E-01	1				
IGSF9	"immunoglobulin superfamily, member 9"	3616	6	0	2	1	0	0	3	4	4	4	3.55E-01	1	6.50E-02	1.45E-01	1				
DPPA4	developmental pluripotency associated 4	939	26	0	1	2	0	0	1	3	2	3	5.69E-01	1	5.80E-02	1.46E-01	1				
MCM7	minichromosome maintenance complex component 7	2216	102	0	1	4	0	2	0	6	6	6	3.31E-02	1	7.33E-01	1.46E-01	1				
VAMP2	vesicle-associated membrane protein 2 (synaptobrevin 2)	383	1083	0	0	2	0	0	0	2	2	2	3.31E-02	1	5.38E-01	1.46E-01	1				
TIMM10	translocase of inner mitochondrial membrane 10 homolog (yeast)	277	369	0	0	1	0	0	0	1	1	1	1.46E-01	NaN	NaN	1.46E-01	1				
ZNF445	zinc finger protein 445	3116	30	0	3	2	0	0	0	2	2	2	6.91E-01	1	4.70E-02	1.46E-01	1				
GAB3	GRB2-associated binding protein 3	1800	7	0	0	4	0	0	0	4	4	4	3.32E-02	1	7.65E-01	1.46E-01	1				
DHX37	DEAH (Asp-Glu-Ala-His) box polypeptide 37	3716	42	0	4	2	0	0	0	2	2	2	9.24E-01	1	2.20E-02	1.46E-01	1				
LOH12CR1	"loss of heterozygosity, 12, chromosomal region 1"	607	6	0	1	2	0	0	0	2	2	2	6.56E-02	1	3.04E-01	1.47E-01	1				
WT1	Wilms tumor 1	954	119	0	1	5	0	0	0	5	5	5	3.33E-02	1	9.81E-01	1.47E-01	1				
KIAA1279	KIAA1279	1890	31	0	1	2	0	0	0	2	2	2	3.01E-01	1	8.90E-02	1.47E-01	1				
IGDCC3	"immunoglobulin superfamily, DCC subclass, member 3"	2497	216	0	2	5	0	0	0	5	5	5	1.33E-01	1	1.87E-01	1.47E-01	1				
JTB	jumping translocation breakpoint	489	634	0	0	0	0	0	1	1	1	1	1.47E-01	NaN	NaN	1.47E-01	1				
BATF	"basic leucine zipper transcription factor, ATF-like"	460	0	0	1	3	0	0	0	3	3	3	2.84E-01	1	7.20E-02	1.47E-01	1				
PPP1R14B	"protein phosphatase 1, regulatory (inhibitor) subunit 14B"	487	53	0	0	0	0	0	1	1	1	1	1.47E-01	NaN	NaN	1.47E-01	1				
